,row,Q1,Power,Other experiments,Rule of Thumb,Practical constraints,As many as possible,REMARKS
1,1,Power analysis ,1,,,,,
2,2,I will use a power analysis or go with the at-least-30-participants-per-condition rule.,1,,1,,,
3,3,"The design of the experiment; the time of year (i.e., end of the semester);",,,1,1,,
4,6,Statistical power,1,,,,,
5,8,"I adopt the rule of thumb to try to guarantee at least 30 subjects per condition. Though, where possible I try together data from as many subjects as are available.",,,1,,1,
6,9,"Power analysis in advance, before I recruit my participants.",1,,,,,
7,10,"I usually aim for 20 - 25 participants per cell of the experimental design, which is typically what it takes to detect a medium effect size with .80 probability.  My answer to the next question is based on the assumption that the experiment would be a standard two-cell design.",,,1,,,
8,11,"By a practical balance with practical constraints (i.e. available founding), and expected sample size to detect the effect of interest. ",,,,1,,"""expected sample size to detect the effect of interest"" ? Don't know how to code this!"
9,13,Power analysis such that I have an 80% chance or better of detecting my target effect size. ,1,,,,,
10,14,"power analysis, pre-experiments",1,1,,,,
11,15,"Power analysis, or look at how much data is required in order to get stable parameter estimates for the model of interest.",1,,,,,
12,16,Power Analysis and examination of what is done in published research studies on the same topic.,1,1,,,,
13,18,"My ideal N is always based on an estimate of the effect size, and the alpha and beta errors I consider as adequate. The actual N however is often smaller due to restrictions in terms of participant money, participants available and lab space. ",,,,1,,"""My ideal N is always based on an estimate of the effect size, and the alpha and beta errors I consider as adequate"" ?? Don't know how to code this!"
14,20,I use secondary  data analysis of large-scale longitudinal data (N >5000) for virtually all my research,,,,,,secondary data
15,23,"I typically conduct an a prior power analysis. From there I collect as many subjects as I can. I work at a small university, so this often takes multiple semesters. Additionally, I do look at my data at the end of each semester and, if minimum sample sizes have been reached (at least n = 20 per cell) and the effects I am looking for are there, I will stop data collection.",1,,1,,1,
16,24,power analysis evt. based on pilot study / ,1,1,,,,
17,25,Using the convention established by others,,1,,,,
18,28,I have tried to replicate the higher sample size used in similar studies,,1,,,,
19,30,"Power, availability, past levels of attrition. ",1,1,,1,,
20,31,I work with large available databases and based on the research question I conduct a power analysis,1,,,,,
21,35,"I carry out simulations, rather than with individuals. The simple size should be as large as posible; power analysis are relevant for statistical signifcance only, but not for effect sizes.",,,,,1,"Respondent mentions ""power"" but not sure whether power analysis is conducted"
22,36,"Experimental studies with expected large effects, I normally choose n = 20 per cell.  For moderate effects, I normally choose n = 30 per cell.  For correlational studies, I normally aim for at least 100 participants.",,,1,,,
23,39,Based first on effect size and power which can usually be found in prior research published. Second consideration is feasibility which factors in recruitment timetable and cost.,,1,,1,,
24,41,Power analysis,1,,,,,
25,42,"Use G*Power to determine the sample size large enough to detect the ""average"" effect size in social/personality research, i.e. .3. ",1,,,,,
26,44,In advance based on previous research indicative of likely effect sizes,,1,,,,
27,47,"In the past, I have always assumed at least 100 participants. Now I shoot for that number.",,,1,,,
28,48,"I target N = 200 if I can get it; try not to fall below 120. These numbers, I have found, offer sufficient power to detect effects at p < .05 that are also of practical significance in the areas in which I do research.",,1,1,,,
29,49,I perform a-priori power analyses,1,,,,,
30,50,"It is usually based on how many participants we manage to get based on our available resources, such as the availability of credit subjects and funding.",,,,1,,
31,51,Most usually by reference to previous studies using the same or similar paradigms.,,1,,,,
32,58,I make a quick calculation but our sample sizes are also influenced by the availability of the participants that we need,1,,,1,,"Not sure if with ""quick calculation"" the respondent means a power analysis... "
33,59,Either a power analysis based on earlier studies that used the same experiment or the same sample size as in earlier studies that used the same manipulation (for instance pharmacological challenge).,1,1,,,,
34,62,Guidelines and sample size calculation (GPower),1,,,,,
35,63,power analysis ,1,,,,,
36,65,"If designing a fresh study, try to have a min of 200 participants, which provides 80% power to detect an effect comparable to a correlation of .20. In web studies, we typically just leave a survey/study online until we're ready to deal with it. This leads to variable (and large) sample sizes, but the number isn't pre-determined. In many studies we're analyzing data from longitudinal datasets not designed by our team; we have no control over those N's. ",,,1,,1,secondary data
37,66,With help from Statisticians,1,,,,,
38,68,"Because I study Latino issues, recruiting participants and retaining them is always an issue. I have used power analyses to calculate sample size in the past, but I have also just try my best to recruit at least over 200 participants and collect rich data that can add to the current literature and hope that a journal will see the significance of the study. ",1,,,,1,
39,71,"based on recent research using a similar design.  / Note that we use expensive fMRI. So my aswer to the next question is none of these options. We plan a single fMRI study with 25 participatns within (if between which occurs seldom, we would use 20 in each condition). Please ignore my aswer, I have to fill in to continue",,1,1,,,
40,73,Power analysis,1,,,,,
