Condition,Finished,Q1_C1,Q2_C1,Q3_C1,Q4_C1,Q5_C1,Q6_C1,Q7_C1_v1,Q7_C1_v2,Q1_C2,Q2_C2,Q3_C2,Q4_C2,Q5_C2,Q6_C2,Q7_C2_v1,Q7_C2_v2,Q8,Q9,Q10,PowerC1,PowerC2,BiasC1,BiasC2,Q3,Q4,Q5,Q6,Power,Bias,PowMen
1,1,Power analysis ,4,0.05,0.8,0.3,50,NA,2,,NA,NA,NA,NA,NA,NA,NA,1,8,3,0.317802205,NA,-0.482197795,NA,0.05,0.8,0.3,50,0.317802205,-0.482197795,1
1,1,I will use a power analysis or go with the at-least-30-participants-per-condition rule.,3,0.05,0.8,0.5,30,NA,3,,NA,NA,NA,NA,NA,NA,NA,10,7,1,0.477896521,NA,-0.322103479,NA,0.05,0.8,0.5,30,0.477896521,-0.322103479,1
1,1,"The design of the experiment; the time of year (i.e., end of the semester);",4,0.05,0.7,0.2,25,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,8,1,0.106581448,NA,-0.593418552,NA,0.05,0.7,0.2,25,0.106581448,-0.593418552,0
2,1,,NA,NA,NA,NA,NA,NA,NA,Based on power analysis and feasibility constraints with any given population,3,0.05,0.8,0.5,25,3,NA,1,5,4,NA,0.410100332,NA,-0.389899668,0.05,0.8,0.5,25,0.410100332,-0.389899668,0
1,1,,3,0.09,0.5,0.4,30,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,6,1,0.434933484,NA,-0.065066516,NA,0.09,0.5,0.4,30,0.434933484,-0.065066516,0
1,1,Statistical power,4,0.05,0.8,0.2,200,3,NA,,NA,NA,NA,NA,NA,NA,NA,5,7,6,0.514081637,NA,-0.285918363,NA,0.05,0.8,0.2,200,0.514081637,-0.285918363,1
1,1,,4,0.05,0.7,0.4,35,NA,3,,NA,NA,NA,NA,NA,NA,NA,1,7,6,0.37833074,NA,-0.32166926,NA,0.05,0.7,0.4,35,0.37833074,-0.32166926,0
1,1,"I adopt the rule of thumb to try to guarantee at least 30 subjects per condition. Though, where possible I try together data from as many subjects as are available.",4,0.07,0.9,0.4,30,NA,3,,NA,NA,NA,NA,NA,NA,NA,8,5,2,0.388376495,NA,-0.511623505,NA,0.07,0.9,0.4,30,0.388376495,-0.511623505,0
1,1,"Power analysis in advance, before I recruit my participants.",4,0.05,0.8,0.2,60,3,NA,,NA,NA,NA,NA,NA,NA,NA,3,8,1,0.192374646,NA,-0.607625354,NA,0.05,0.8,0.2,60,0.192374646,-0.607625354,1
1,1,"I usually aim for 20 - 25 participants per cell of the experimental design, which is typically what it takes to detect a medium effect size with .80 probability.  My answer to the next question is based on the assumption that the experiment would be a standard two-cell design.",3,0.05,0.8,0.4,25,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,7,4,0.28339873,NA,-0.51660127,NA,0.05,0.8,0.4,25,0.28339873,-0.51660127,0
1,1,"By a practical balance with practical constraints (i.e. available founding), and expected sample size to detect the effect of interest. ",4,0.05,0.8,0.05,75,3,NA,,NA,NA,NA,NA,NA,NA,NA,8,9,5,0.060667132,NA,-0.739332868,NA,0.05,0.8,0.05,75,0.060667132,-0.739332868,0
2,1,,NA,NA,NA,NA,NA,NA,NA,,4,0.7,0.8,0.2,60,NA,2,10,5,2,NA,0.830459994,NA,0.030459994,0.7,0.8,0.2,60,0.830459994,0.030459994,0
1,1,Power analysis such that I have an 80% chance or better of detecting my target effect size. ,4,0.9,0.8,0.4,40,3,NA,,NA,NA,NA,NA,NA,NA,NA,10,8,3,0.979636947,NA,0.179636947,NA,0.9,0.8,0.4,40,0.979636947,0.179636947,1
